period,tmean
1995-01,25.700000000000003
1995-02,28.7
1995-03,32.08225806451613
1995-04,31.78666666666667
1995-05,29.851612903225806
1995-06,28.116666666666667
1995-07,27.25
1995-08,26.298387096774192
1995-09,27.113333333333333
1995-10,28.06935483870968
1995-11,28.336666666666666
1995-12,28.45483870967742
1996-01,28.774193548387096
1996-02,31.767241379310345
1996-03,31.464454022988505
1996-04,31.16166666666667
1996-05,29.61046594982079
1996-06,28.059265232974912
1996-07,26.508064516129032
1996-08,26.460698924731183
1996-09,26.413333333333334
1996-10,27.60161290322581
1996-11,27.2
1996-12,27.880645161290325
1997-01,28.920967741935485
1997-02,29.2
1997-03,31.635483870967743
1997-04,30.310000000000002
1997-05,28.393548387096775
1997-06,27.105
1997-07,26.296774193548387
1997-08,27.09032258064516
1997-09,27.496666666666666
1997-10,28.387096774193548
1997-11,29.221666666666668
1997-12,28.093548387096774
1998-01,27.925806451612903
1998-02,31.723214285714285
1998-03,32.98870967741935
1998-04,33.255
1998-05,30.372580645161293
1998-06,28.038333333333334
1998-07,27.343548387096774
1998-08,26.696551724137933
1998-09,26.775
1998-10,28.35
1998-11,29.393333333333334
1998-12,27.914516129032258
1999-01,28.424193548387098
1999-02,29.696428571428573
1999-03,33.079032258064515
1999-04,31.05
1999-05,30.15483870967742
1999-06,28.276666666666667
1999-07,26.71935483870968
1999-08,26.40483870967742
1999-09,26.30666666666667
1999-10,27.175806451612903
1999-11,29.515
1999-12,27.083870967741937
2000-01,29.032258064516128
2000-02,27.83793103448276
2000-03,31.403225806451612
2000-04,31.748333333333335
2000-05,30.04193548387097
2000-06,26.903333333333332
2000-07,26.77258064516129
2000-08,26.503225806451614
2000-09,26.568333333333335
2000-10,27.998387096774195
2000-11,29.63
2000-12,27.35483870967742
2001-01,27.20967741935484
2001-02,29.110714285714288
2001-03,32.77741935483871
2001-04,31.225
2001-05,29.519354838709678
2001-06,28.148333333333333
2001-07,26.97258064516129
2001-08,26.403225806451612
2001-09,26.685000000000002
2001-10,29.267741935483873
2001-11,30.013333333333332
2001-12,28.716129032258067
2002-01,27.551612903225806
2002-02,30.017857142857142
2002-03,33.43709677419355
2002-04,31.918333333333337
2002-05,30.588709677419356
2002-06,28.423333333333336
2002-07,27.298387096774192
2002-08,26.309677419354838
2002-09,26.986666666666668
2002-10,28.233870967741936
2002-11,29.27
2002-12,27.78548387096774
2003-01,28.230645161290326
2003-02,31.773214285714285
2003-03,32.45483870967742
2003-04,30.276666666666667
2003-05,29.71451612903226
2003-06,26.956666666666667
2003-07,26.983870967741936
2003-08,26.712903225806453
2003-09,27.261666666666667
2003-10,28.85483870967742
2003-11,29.343333333333337
2003-12,27.93064516129032
2004-01,28.537096774193547
2004-02,30.734482758620693
2004-03,31.625806451612902
2004-04,31.19
2004-05,29.246774193548386
2004-06,26.668333333333333
2004-07,26.15483870967742
2004-08,26.193548387096776
2004-09,26.336666666666666
2004-10,28.958064516129035
2004-11,29.11209677419355
2004-12,29.266129032258064
2005-01,27.233870967741936
2005-02,32.042857142857144
2005-03,32.49032258064516
2005-04,31.381666666666668
2005-05,29.64677419354839
2005-06,27.925
2005-07,26.73225806451613
2005-08,26.677419354838708
2005-09,27.154999999999998
2005-10,28.116129032258065
2005-11,29.15
2005-12,28.23225806451613
2006-01,29.40483870967742
2006-02,31.357142857142858
2006-03,33.00161290322581
2006-04,32.9
2006-05,29.279032258064515
2006-06,28.003333333333334
2006-07,27.433870967741935
2006-08,26.84032258064516
2006-09,26.62
2006-10,28.095161290322583
2006-11,27.511666666666667
2006-12,26.432258064516127
2007-01,26.693548387096776
2007-02,30.998214285714287
2007-03,32.71290322580645
2007-04,31.060000000000002
2007-05,29.19193548387097
2007-06,28.316666666666666
2007-07,27.767741935483873
2007-08,26.325806451612905
2007-09,26.608333333333334
2007-10,28.08709677419355
2007-11,29.68166666666667
2007-12,28.033870967741937
2008-01,25.81935483870968
2008-02,30.320689655172416
2008-03,32.25806451612903
2008-04,31.458333333333332
2008-05,29.227419354838712
2008-06,27.225
2008-07,26.858064516129033
2008-08,26.21129032258065
2008-09,26.796666666666667
2008-10,28.029032258064518
2008-11,28.796666666666667
2008-12,28.687096774193552
2009-01,27.288709677419355
2009-02,32.11607142857143
2009-03,33.02741935483871
2009-04,30.475
2009-05,29.80483870967742
2009-06,28.323333333333334
2009-07,26.532258064516128
2009-08,26.437096774193552
2009-09,26.995
2009-10,28.006451612903227
2009-11,28.57
2009-12,27.943548387096776
2010-01,28.166129032258063
2010-02,31.25357142857143
2010-03,32.438709677419354
2010-04,31.790000000000003
2010-05,30.59193548387097
2010-06,28.048333333333336
2010-07,26.575806451612905
2010-08,26.687096774193545
2010-09,26.553333333333335
2010-10,27.81935483870968
2010-11,28.785000000000004
2010-12,26.779032258064518
2011-01,27.59193548387097
2011-02,30.676785714285717
2011-03,32.57741935483871
2011-04,31.785000000000004
2011-05,30.511290322580646
2011-06,28.315
2011-07,26.97258064516129
2011-08,26.31451612903226
2011-09,26.328387096774193
2011-10,26.34225806451613
2011-11,
2011-12,
2012-01,26.383870967741935
2012-02,30.606896551724137
2012-03,31.853225806451615
2012-04,30.175
2012-05,28.89032258064516
2012-06,27.630000000000003
2012-07,26.37741935483871
2012-08,25.891935483870967
2012-09,26.523333333333333
2012-10,27.533870967741937
2012-11,29.216666666666665
2012-12,27.06451612903226
2013-01,27.19516129032258
2013-02,29.755357142857143
2013-03,31.570967741935487
2013-04,30.360000000000003
2013-05,28.97258064516129
2013-06,27.705
2013-07,27.80430495689655
2013-08,27.9036099137931
2013-09,
2013-10,
2013-11,
2013-12,
2014-01,
2014-02,
2014-03,
2014-04,
2014-05,
2014-06,
2014-07,
2014-08,
2014-09,
2014-10,
2014-11,
2014-12,
2015-01,
2015-02,
2015-03,
2015-04,
2015-05,
2015-06,
2015-07,
2015-08,
2015-09,
2015-10,
2015-11,
2015-12,
2016-01,
2016-02,30.882758620689657
2016-03,32.99354838709677
2016-04,32.235
2016-05,30.914516129032258
2016-06,29.128333333333334
2016-07,27.348387096774193
2016-08,27.061290322580643
2016-09,26.978333333333335
2016-10,28.693548387096776
2016-11,30.47666666666667
2016-12,29.048387096774192
2017-01,28.356451612903225
2017-02,30.867857142857144
2017-03,34.16290322580645
2017-04,32.755
2017-05,30.89032258064516
2017-06,28.563333333333333
2017-07,27.537096774193547
2017-08,27.34193548387097
2017-09,28.078333333333333
2017-10,29.46129032258065
2017-11,30.591666666666665
2017-12,29.162903225806453
2018-01,28.362903225806452
2018-02,31.751785714285717
2018-03,32.94032258064516
2018-04,32.14833333333333
2018-05,30.822580645161292
2018-06,28.575
2018-07,27.720967741935485
2018-08,27.203225806451616
2018-09,27.626666666666665
2018-10,28.938709677419357
2018-11,30.571666666666665
2018-12,28.306451612903224
2019-01,29.220967741935485
2019-02,31.80535714285714
2019-03,33.54838709677419
2019-04,33.53333333333333
2019-05,31.266129032258064
2019-06,28.723333333333336
2019-07,27.875806451612902
2019-08,27.682258064516127
2019-09,27.765
2019-10,28.643548387096775
2019-11,30.978333333333335
2019-12,29.11774193548387
2020-01,28.693548387096776
2020-02,30.75
2020-03,33.12903225806452
2020-04,31.533333333333335
2020-05,30.69193548387097
2020-06,28.176666666666666
2020-07,27.566129032258065
2020-08,27.27741935483871
2020-09,27.271666666666665
2020-10,28.719354838709677
2020-11,30.295
2020-12,30.317741935483873
2021-01,30.448387096774194
2021-02,31.72142857142857
2021-03,33.73709677419355
2021-04,34.07
2021-05,31.07903225806452
2021-06,28.610000000000003
2021-07,27.94193548387097
2021-08,27.412903225806453
2021-09,27.998333333333335
2021-10,29.629032258064516
2021-11,31.006666666666668
2021-12,29.288709677419355
2022-01,28.129032258064516
2022-02,31.741071428571427
2022-03,33.54354838709678
2022-04,30.7
2022-05,30.15967741935484
2022-06,28.68166666666667
2022-07,27.48225806451613
2022-08,27.096774193548388
2022-09,27.101666666666667
2022-10,28.65806451612903
2022-11,29.638333333333332
2022-12,28.479032258064517
2023-01,28.967741935483872
2023-02,31.675
2023-03,32.846774193548384
2023-04,31.418333333333337
2023-05,30.567741935483873
2023-06,28.76833333333333
2023-07,28.11774193548387
2023-08,27.40806451612903
2023-09,28.331666666666667
2023-10,29.38225806451613
2023-11,30.803333333333335
2023-12,28.462903225806453
2024-01,29.380645161290325
2024-02,31.93793103448276
2024-03,34.377419354838715
2024-04,32.85333333333333
2024-05,32.10806451612903
2024-06,29.138333333333332
2024-07,26.02258064516129
2024-08,24.42258064516129
2024-09,28.168333333333337
2024-10,28.50483870967742
2024-11,28.78666666666667
2024-12,27.706451612903226
