period,residual
1995-01,
1995-02,
1995-03,
1995-04,
1995-05,
1995-06,
1995-07,
1995-08,
1995-09,
1995-10,
1995-11,
1995-12,
1996-01,-0.23532541335884005
1996-02,0.37680318453981343
1996-03,0.3147125394338488
1996-04,0.5063002285778673
1996-05,-0.5262301329529109
1996-06,-0.5292093730528755
1996-07,-0.47986187722121443
1996-08,-0.4611685536091521
1996-09,0.03332358178575845
1996-10,0.5266073263249567
1996-11,-0.1043541393836449
1996-12,-0.8977733030682913
1997-01,-0.05370357944075721
1997-02,0.5759012666657704
1997-03,-0.6812368620820557
1997-04,-0.024235909243024878
1997-05,0.15409703896732196
1997-06,-0.8224478084970279
1997-07,-0.8285682199141924
1997-08,-0.13299215937011155
1997-09,1.0986541357074309
1997-10,-0.3261224588851235
1997-11,-0.31463406882926037
1997-12,-0.4837667214171688
1998-01,0.37172406010782666
1998-02,1.7958527084903295
1998-03,1.1629291549270917
1998-04,0.8896587784967736
1998-05,-0.4517055384907813
1998-06,0.5247791069384782
1998-07,0.352873760938774
1998-08,0.3763419705701274
1998-09,1.0554612225800213
1998-10,0.4580080150996295
1998-11,0.6015091968178972
1998-12,-0.7643933088101065
1999-01,-0.20155815224637763
1999-02,0.36662646144306166
1999-03,0.440145366416818
1999-04,0.04221783856724315
1999-05,0.06031402588371293
1999-06,-0.9989972925409774
1999-07,-0.6156016538563769
1999-08,-0.3220505251676684
1999-09,-0.4900057309330883
1999-10,0.23161187983872722
1999-11,0.13176745330706652
1999-12,-0.49526124339453403
2000-01,-0.8081943300188961
2000-02,0.5301686186791379
2000-03,0.5870979242086563
2000-04,-0.18696834723379396
2000-05,0.03829229983908533
2000-06,-0.7199443129577965
2000-07,-0.43248584847731664
2000-08,-0.1661811781850382
2000-09,0.4413556795168816
2000-10,0.16324335182526895
2000-11,-0.2724160042482673
2000-12,-0.631799184696888
2001-01,-0.40125580790384774
2001-02,0.8268611680089499
2001-03,-0.28082991384275147
2001-04,0.21951420777774544
2001-05,0.15268163822842595
2001-06,-0.9399865668502017
2001-07,-0.23211664707746849
2001-08,-0.7738222102514953
2001-09,0.035793885659821
2001-10,0.825441266873014
2001-11,-0.3288638856276158
2001-12,-0.23748629696101986
2002-01,-0.8079877756818412
2002-02,0.7811575477749706
