period,residual
1995-01,
1995-02,
1995-03,
1995-04,
1995-05,
1995-06,
1995-07,
1995-08,
1995-09,
1995-10,
1995-11,
1995-12,
1996-01,0.42217651348435936
1996-02,0.29118495952994294
1996-03,0.26700386969245216
1996-04,0.4407213393073981
1996-05,-0.48441961315481663
1996-06,-0.4369323775961469
1996-07,-0.4796702015253089
1996-08,-0.7103246331102504
1996-09,0.33211313214797755
1996-10,0.32514185841083787
1996-11,0.09272547122402486
1996-12,-0.7102349736375437
1997-01,0.262884880852301
1997-02,0.4609605052679058
1997-03,0.1363175018096534
1997-04,-0.09623024588966445
1997-05,0.401787339583354
1997-06,-0.3857779201185174
1997-07,-0.7234799704722441
1997-08,0.16252652368623544
1997-09,0.8060017617746702
1997-10,0.02310481806230058
1997-11,-0.2861141842040098
1997-12,-0.14101761964495552
1998-01,-0.5003245367491047
1998-02,2.8413800224595036
1998-03,0.9733025320088409
1998-04,0.4483349970721697
1998-05,-0.20610822922175132
1998-06,0.03967283350688788
1998-07,0.23839283446992354
1998-08,-0.3219647677371711
1998-09,0.9033587123163223
1998-10,0.03946201134636951
1998-11,0.08140095136711167
1998-12,-0.9331755653161835
1999-01,-0.48614792869415524
1999-02,-0.30002495838700227
1999-03,0.5064351864445911
1999-04,-0.42614367064160774
1999-05,-0.7715905807019183
1999-06,-0.8355469938289737
1999-07,-0.8851764550909458
1999-08,-0.5965652696296324
1999-09,-0.4484336527867434
1999-10,-0.16862198993319666
1999-11,-0.35179276983220475
1999-12,-0.6259811314808523
2000-01,0.027203858333987085
2000-02,-0.4713549414210654
2000-03,1.9320070990788096
2000-04,-0.32098189153456147
2000-05,0.14449153070665588
2000-06,-0.2601125147197081
2000-07,-0.3705133136625669
2000-08,0.0032456464780565852
2000-09,0.8605844801309992
2000-10,0.4724882735367828
2000-11,0.24304448875863116
2000-12,-0.49441364587499237
2001-01,0.2959874893584207
2001-02,0.8138599274054279
2001-03,0.34514495949566637
2001-04,0.08071241368381976
2001-05,0.42960620472867106
2001-06,-0.7160769986648958
2001-07,-0.49407289758471507
2001-08,-0.615800406135147
2001-09,0.09204159606447959
2001-10,0.678471493360771
2001-11,-0.4843119069081361
2001-12,0.04888351825093551
2002-01,-1.100443704912884
2002-02,1.457180517368581
