month,Null,A_month,B_season,C1_harmonic,C2_harmonic,selected,w_lambda_0.0,w_lambda_0.25,w_lambda_0.5,w_lambda_1.0,w_lambda_2.0,w_lambda_4.0
1,1.0,0.7747612263232198,1.4792113407362928,0.8152473886439787,0.7684022852171076,1.4792113407362928,1.0,0.9061550013727068,0.8462858068745712,0.7742885675606775,0.7052637157998065,0.6520622669753259
2,1.0,1.029532816050118,1.4792113407362928,0.8710886388946155,1.0056538911147397,1.4792113407362928,1.0,0.9061550013727068,0.8462858068745712,0.7742885675606775,0.7052637157998065,0.6520622669753259
3,1.0,0.8237418072391886,1.4792113407362928,0.7927345535797105,0.9709899748016919,1.4792113407362928,1.0,0.9061550013727068,0.8462858068745712,0.7742885675606775,0.7052637157998065,0.6520622669753259
4,1.0,0.9136137298001342,0.6531070294227963,0.6301647644699793,0.6685823149321377,0.6531070294227963,1.0,1.0670321418766378,1.1097958522324487,1.161222451742373,1.2105259172858522,1.2485269521604812
5,1.0,0.27112061900315426,0.6531070294227963,0.46531688488729106,0.40305343169492763,0.6531070294227963,1.0,1.0670321418766378,1.1097958522324487,1.161222451742373,1.2105259172858522,1.2485269521604812
6,1.0,0.3892762860933277,0.6531070294227963,0.3461801855115702,0.2826280414230884,0.6531070294227963,1.0,1.0670321418766378,1.1097958522324487,1.161222451742373,1.2105259172858522,1.2485269521604812
7,1.0,0.2587001993336323,0.6531070294227963,0.28088688590054645,0.2647467848655108,0.6531070294227963,1.0,1.0670321418766378,1.1097958522324487,1.161222451742373,1.2105259172858522,1.2485269521604812
8,1.0,0.2220048243166732,0.6531070294227963,0.26288059562496857,0.30349023289327187,0.6531070294227963,1.0,1.0670321418766378,1.1097958522324487,1.161222451742373,1.2105259172858522,1.2485269521604812
9,1.0,0.5160283419117947,0.6531070294227963,0.2888637806952037,0.35381810200121955,0.6531070294227963,1.0,1.0670321418766378,1.1097958522324487,1.161222451742373,1.2105259172858522,1.2485269521604812
10,1.0,0.33354625177418173,0.6531070294227963,0.3633848052855847,0.3855383036741882,0.6531070294227963,1.0,1.0670321418766378,1.1097958522324487,1.161222451742373,1.2105259172858522,1.2485269521604812
11,1.0,0.39549804139482203,1.4792113407362928,0.49212119240037044,0.4262710893347735,1.4792113407362928,1.0,0.9061550013727068,0.8462858068745712,0.7742885675606775,0.7052637157998065,0.6520622669753259
12,1.0,0.5821164230505469,1.4792113407362928,0.6614829785718807,0.5400471964974227,1.4792113407362928,1.0,0.9061550013727068,0.8462858068745712,0.7742885675606775,0.7052637157998065,0.6520622669753259
