month,Null,A_month,B_season,C1_harmonic,C2_harmonic,selected,w_lambda_0.0,w_lambda_0.25,w_lambda_0.5,w_lambda_1.0,w_lambda_2.0,w_lambda_4.0
1,1.0,0.8549504864080708,1.8275363865972962,0.7788946317070956,1.0414664912166267,1.8275363865972962,1.0,0.837112243460236,0.7359452893529801,0.6170112161544176,0.5056887323729894,0.42163231942229995
2,1.0,1.7914444680085158,1.8275363865972962,1.0040961107209867,1.18124332714954,1.8275363865972962,1.0,0.837112243460236,0.7359452893529801,0.6170112161544176,0.5056887323729894,0.42163231942229995
3,1.0,0.8507804397585929,1.8275363865972962,0.9926460586118164,0.8733572206074726,1.8275363865972962,1.0,0.837112243460236,0.7359452893529801,0.6170112161544176,0.5056887323729894,0.42163231942229995
4,1.0,0.5638562684332246,0.36987419808295574,0.7548675241300998,0.5645522608299297,0.36987419808295574,1.0,1.1163483975284025,1.1886105076050142,1.2735634170325587,1.3530794768764358,1.413119771841214
5,1.0,0.2432430992221784,0.36987419808295574,0.47519268469771564,0.40392958468550694,0.36987419808295574,1.0,1.1163483975284025,1.1886105076050142,1.2735634170325587,1.3530794768764358,1.413119771841214
6,1.0,0.47815328321165007,0.36987419808295574,0.28031703517328677,0.3186045681662418,0.36987419808295574,1.0,1.1163483975284025,1.1886105076050142,1.2735634170325587,1.3530794768764358,1.413119771841214
7,1.0,0.3765003691063142,0.36987419808295574,0.17849635755901294,0.23866896449716568,0.36987419808295574,1.0,1.1163483975284025,1.1886105076050142,1.2735634170325587,1.3530794768764358,1.413119771841214
8,1.0,0.08016053058701708,0.36987419808295574,0.13846269614783757,0.16289091665371097,0.36987419808295574,1.0,1.1163483975284025,1.1886105076050142,1.2735634170325587,1.3530794768764358,1.413119771841214
9,1.0,0.11912046690790633,0.36987419808295574,0.14005984658460657,0.12322849345002679,0.36987419808295574,1.0,1.1163483975284025,1.1886105076050142,1.2735634170325587,1.3530794768764358,1.413119771841214
10,1.0,0.21561764588559185,0.36987419808295574,0.1841778196011304,0.1377433802975803,0.36987419808295574,1.0,1.1163483975284025,1.1886105076050142,1.2735634170325587,1.3530794768764358,1.413119771841214
11,1.0,0.2553020878163264,1.8275363865972962,0.29257574697393846,0.24869911463265215,1.8275363865972962,1.0,0.837112243460236,0.7359452893529801,0.6170112161544176,0.5056887323729894,0.42163231942229995
12,1.0,0.42703107151168873,1.8275363865972962,0.4959736199979418,0.5637169390137392,1.8275363865972962,1.0,0.837112243460236,0.7359452893529801,0.6170112161544176,0.5056887323729894,0.42163231942229995
