month,Null,A_month,B_season,C1_harmonic,C2_harmonic,selected,w_lambda_0.0,w_lambda_0.25,w_lambda_0.5,w_lambda_1.0,w_lambda_2.0,w_lambda_4.0
1,1.0,0.686760191498479,1.3414789977386232,0.7184381120277228,0.8993557297464079,1.3414789977386232,1.0,0.9025529559919194,0.8374554575060963,0.7559337230201337,0.6742449983699088,0.6087734406474019
2,1.0,1.4319733243660757,1.3414789977386232,0.9154456186280057,0.9837986488605356,1.3414789977386232,1.0,0.9025529559919194,0.8374554575060963,0.7559337230201337,0.6742449983699088,0.6087734406474019
3,1.0,0.6717192498438185,1.3414789977386232,0.8904224025062144,0.7644121941013587,1.3414789977386232,1.0,0.9025529559919194,0.8374554575060963,0.7559337230201337,0.6742449983699088,0.6087734406474019
4,1.0,0.47654784824887036,0.5072410068161496,0.6660473562254093,0.5320628860201583,0.5072410068161496,1.0,1.0696050314343433,1.1161032446385026,1.1743330549856188,1.232682144021494,1.2794475423947127
5,1.0,0.40674771182141134,0.5072410068161496,0.41413850938121144,0.38536471294941566,0.5072410068161496,1.0,1.0696050314343433,1.1161032446385026,1.1743330549856188,1.232682144021494,1.2794475423947127
6,1.0,0.2975600080415577,0.5072410068161496,0.24311483423564798,0.28319131543877746,0.5072410068161496,1.0,1.0696050314343433,1.1161032446385026,1.1743330549856188,1.232682144021494,1.2794475423947127
7,1.0,0.20120277116920834,0.5072410068161496,0.15541339181683023,0.19454970730227122,0.5072410068161496,1.0,1.0696050314343433,1.1161032446385026,1.1743330549856188,1.232682144021494,1.2794475423947127
8,1.0,0.11998530662116949,0.5072410068161496,0.12196781712500564,0.13107471514461258,0.5072410068161496,1.0,1.0696050314343433,1.1161032446385026,1.1743330549856188,1.232682144021494,1.2794475423947127
9,1.0,0.10272768015815557,0.5072410068161496,0.12539543421913063,0.1076498061279059,0.5072410068161496,1.0,1.0696050314343433,1.1161032446385026,1.1743330549856188,1.232682144021494,1.2794475423947127
10,1.0,0.15165805711256483,0.5072410068161496,0.16763808572632646,0.1339154083636331,0.5072410068161496,1.0,1.0696050314343433,1.1161032446385026,1.1743330549856188,1.232682144021494,1.2794475423947127
11,1.0,0.2465708248953711,1.3414789977386232,0.26960763433359125,0.250875652131878,1.3414789977386232,1.0,0.9025529559919194,0.8374554575060963,0.7559337230201337,0.6742449983699088,0.6087734406474019
12,1.0,0.5483730480633265,1.3414789977386232,0.4592681649877548,0.534976634358599,1.3414789977386232,1.0,0.9025529559919194,0.8374554575060963,0.7559337230201337,0.6742449983699088,0.6087734406474019
