Station,parameterisation,test_rmse
KIAMO-Accra,A_month,0.7464
KIAMO-Accra,B_season,0.754
KIAMO-Accra,C1_harmonic,0.7621
KIAMO-Accra,C2_harmonic,0.7594
Koforidua,A_month,0.6178
Koforidua,B_season,0.6101
Koforidua,C1_harmonic,0.6004
Koforidua,C2_harmonic,0.6134
Kumasi,A_month,0.5935
Kumasi,B_season,0.5979
Kumasi,C1_harmonic,0.5601
Kumasi,C2_harmonic,0.5832
Navrongo,A_month,0.7415
Navrongo,B_season,0.8213
Navrongo,C1_harmonic,0.7569
Navrongo,C2_harmonic,0.8345
Tamale,A_month,1.1342
Tamale,B_season,1.2303
Tamale,C1_harmonic,1.1867
Tamale,C2_harmonic,1.2247
Wa,A_month,1.0298
Wa,B_season,1.0546
Wa,C1_harmonic,1.1179
Wa,C2_harmonic,1.0896
