year,KIAMO-Accra,Koforidua,Kumasi,Navrongo,Tamale,Wa
1995,-0.338,-0.249,-0.275,-0.172,-0.558,-0.198
1996,-0.578,-0.429,-0.519,-0.325,-0.463,-0.166
1997,-0.65,-0.364,-0.408,-0.298,-0.525,-0.314
1998,0.204,0.279,0.16,0.162,0.194,0.264
1999,-0.471,-0.508,-0.463,-0.239,-0.38,-0.352
2000,-0.411,-0.371,-0.572,-0.326,-0.555,-0.428
2001,-0.559,-0.337,-0.245,-0.09,-0.2,0.184
2002,-0.421,-0.362,-0.265,0.078,-0.053,0.12
2003,-0.299,-0.164,-0.219,0.111,-0.163,0.044
2004,-0.19,-0.215,-0.514,-0.278,-0.369,-0.065
2005,-0.256,-0.12,-0.599,0.537,-0.139,0.246
2006,-0.104,-0.222,-0.354,0.181,-0.131,0.304
2007,-0.258,0.677,-0.291,-0.271,-0.248,-0.044
2008,-0.215,,-0.107,-0.449,-0.564,-0.184
2009,-0.083,-0.064,-0.177,-0.049,-0.244,-0.183
2010,0.261,0.226,0.261,0.066,-0.247,0.489
2011,0.788,-0.42,-0.237,-0.041,-0.296,0.201
2012,-0.596,-0.215,-0.323,-0.201,-0.859,-0.298
2013,-0.067,-0.154,-0.233,0.005,-0.129,-0.002
2014,-0.242,-0.082,-0.175,0.44,,-0.04
2015,0.109,-0.058,0.174,0.287,,0.362
2016,0.435,0.45,0.529,0.181,0.577,0.397
2017,0.016,-0.054,0.379,-0.111,0.776,0.849
2018,0.253,0.247,0.372,-0.141,0.543,0.114
2019,0.437,0.449,0.644,-0.029,0.976,2.356
2020,0.545,0.485,0.759,0.134,0.498,-1.264
2021,0.836,0.388,0.769,0.633,1.208,-0.757
2022,0.17,0.087,0.364,-0.023,0.247,-0.334
2023,0.756,0.459,0.468,-0.125,0.692,-0.407
2024,0.927,0.64,1.093,0.355,0.413,-0.893
