Station,Burnin,N,Ratio,BF_p,Max_abs_resid
KIAMO-Accra,0,253,1.81,0.5388,1.759
KIAMO-Accra,3,251,1.54,0.7008,1.759
KIAMO-Accra,6,248,1.5,0.796,1.759
KIAMO-Accra,12,242,1.47,0.7858,1.759
KIAMO-Accra,18,236,1.51,0.7128,1.759
KIAMO-Accra,24,230,1.56,0.7616,1.759
Koforidua,0,244,3.71,8.037e-08,3.298
Koforidua,3,242,3.69,6.451e-07,3.298
Koforidua,6,239,3.69,7.675e-07,3.298
Koforidua,12,233,3.62,2.045e-06,3.298
Koforidua,18,227,3.66,6.675e-07,3.298
Koforidua,24,221,3.58,1.866e-06,3.298
Kumasi,0,263,2.46,0.0158,2.849
Kumasi,3,261,2.16,0.04841,2.261
Kumasi,6,258,2.16,0.05956,2.261
Kumasi,12,252,2.23,0.06323,2.261
Kumasi,18,246,2.29,0.03263,2.261
Kumasi,24,240,2.23,0.03601,2.261
Navrongo,0,264,16.46,0.06854,26.335
Navrongo,3,261,4.82,2.134e-05,5.503
Navrongo,6,258,4.82,3.174e-05,5.503
Navrongo,12,252,4.76,2.965e-05,5.503
Navrongo,18,246,4.88,4.889e-06,5.503
Navrongo,24,240,5.17,3.511e-06,5.503
Tamale,0,232,3.08,0.001329,4.028
Tamale,3,230,3.13,0.001824,4.028
Tamale,6,227,3.13,0.002065,4.028
Tamale,12,221,3.62,0.002181,4.028
Tamale,18,215,3.67,0.002328,4.028
Tamale,24,209,3.62,0.002573,4.028
Wa,0,264,14.06,0.0772,26.581
Wa,3,261,3.63,2.143e-05,4.634
Wa,6,258,3.63,2.831e-05,4.634
Wa,12,252,3.73,3.658e-05,4.634
Wa,18,246,3.83,4.074e-06,4.634
Wa,24,240,3.81,7.229e-06,4.634
