Station,Model,k,min,max,ratio,peak_month
KIAMO-Accra,Null,0,1.0,1.0,1.0,Jan
KIAMO-Accra,A_month,12,0.328,0.858,2.62,Jun
KIAMO-Accra,B_season,2,0.984,1.005,1.02,Apr
KIAMO-Accra,C1_harmonic,3,0.393,0.819,2.08,Apr
KIAMO-Accra,C2_harmonic,5,0.358,0.851,2.38,Mar
Koforidua,Null,0,1.0,1.0,1.0,Jan
Koforidua,A_month,12,0.185,2.225,12.05,Feb
Koforidua,B_season,2,0.569,1.596,2.81,Jan
Koforidua,C1_harmonic,3,0.2,0.965,4.83,Mar
Koforidua,C2_harmonic,5,0.179,1.564,8.73,Feb
Kumasi,Null,0,1.0,1.0,1.0,Jan
Kumasi,A_month,12,0.222,1.03,4.64,Feb
Kumasi,B_season,2,0.653,1.479,2.26,Jan
Kumasi,C1_harmonic,3,0.263,0.871,3.31,Feb
Kumasi,C2_harmonic,5,0.265,1.006,3.8,Feb
Navrongo,Null,0,1.0,1.0,1.0,Jan
Navrongo,A_month,12,0.08,1.791,22.35,Feb
Navrongo,B_season,2,0.37,1.828,4.94,Jan
Navrongo,C1_harmonic,3,0.138,1.004,7.25,Feb
Navrongo,C2_harmonic,5,0.123,1.181,9.59,Feb
Tamale,Null,0,1.0,1.0,1.0,Jan
Tamale,A_month,12,0.088,1.42,16.13,Feb
Tamale,B_season,2,0.284,2.004,7.06,Jan
Tamale,C1_harmonic,3,0.141,0.842,5.99,Feb
Tamale,C2_harmonic,5,0.14,0.842,6.01,Feb
Wa,Null,0,1.0,1.0,1.0,Jan
Wa,A_month,12,0.103,1.432,13.94,Feb
Wa,B_season,2,0.507,1.341,2.64,Jan
Wa,C1_harmonic,3,0.122,0.915,7.51,Feb
Wa,C2_harmonic,5,0.108,0.984,9.14,Feb
