Station,lambda,w_min,w_max,w_spread,w_mean,unnormalised_mean
KIAMO-Accra,0.0,1.0,1.0,1.0,1.0,1.0
KIAMO-Accra,0.25,0.9982,1.0025,1.004,1.0,0.8006
KIAMO-Accra,0.5,0.997,1.0042,1.007,1.0,0.6675
KIAMO-Accra,1.0,0.9955,1.0063,1.011,1.0,0.5009
KIAMO-Accra,2.0,0.994,1.0084,1.014,1.0,0.3341
KIAMO-Accra,4.0,0.9928,1.0101,1.017,1.0,0.2006
Koforidua,0.0,1.0,1.0,1.0,1.0,1.0
Koforidua,0.25,0.884,1.0828,1.225,1.0,0.8085
Koforidua,0.5,0.8108,1.1351,1.4,1.0,0.6859
Koforidua,1.0,0.7236,1.1975,1.655,1.0,0.5323
Koforidua,2.0,0.6407,1.2566,1.961,1.0,0.3723
Koforidua,4.0,0.5774,1.3019,2.255,1.0,0.2345
Kumasi,0.0,1.0,1.0,1.0,1.0,1.0
Kumasi,0.25,0.9062,1.067,1.178,1.0,0.8056
Kumasi,0.5,0.8463,1.1098,1.311,1.0,0.6793
Kumasi,1.0,0.7743,1.1612,1.5,1.0,0.5209
Kumasi,2.0,0.7053,1.2105,1.716,1.0,0.3582
Kumasi,4.0,0.6521,1.2485,1.915,1.0,0.2217
Navrongo,0.0,1.0,1.0,1.0,1.0,1.0
Navrongo,0.25,0.8371,1.1163,1.334,1.0,0.82
Navrongo,0.5,0.7359,1.1886,1.615,1.0,0.71
Navrongo,1.0,0.617,1.2736,2.064,1.0,0.5732
Navrongo,2.0,0.5057,1.3531,2.676,1.0,0.4248
Navrongo,4.0,0.4216,1.4131,3.352,1.0,0.2854
Tamale,0.0,1.0,1.0,1.0,1.0,1.0
Tamale,0.25,0.8102,1.1356,1.402,1.0,0.8223
Tamale,0.5,0.6948,1.218,1.753,1.0,0.719
Tamale,1.0,0.5613,1.3134,2.34,1.0,0.5931
Tamale,2.0,0.4385,1.401,3.195,1.0,0.4554
Tamale,4.0,0.3472,1.4663,4.223,1.0,0.3195
Wa,0.0,1.0,1.0,1.0,1.0,1.0
Wa,0.25,0.9026,1.0696,1.185,1.0,0.8297
Wa,0.5,0.8375,1.1161,1.333,1.0,0.7147
Wa,1.0,0.7559,1.1743,1.553,1.0,0.565
Wa,2.0,0.6742,1.2327,1.828,1.0,0.4027
Wa,4.0,0.6088,1.2794,2.102,1.0,0.258
