Station,lambda,mse_lam0,mse_lam,delta_mean,delta_sd,dz,wilcoxon_p,wins,n,better
KIAMO-Accra,0.25,0.015293,0.015384,-9.1e-05,8.5e-05,-1.072,0.125,1,5,uniform
KIAMO-Accra,0.5,0.015293,0.015453,-0.00016,0.000149,-1.075,0.125,1,5,uniform
KIAMO-Accra,1.0,0.015293,0.015454,-0.00016,0.000196,-0.816,0.125,1,5,uniform
KIAMO-Accra,2.0,0.015293,0.015313,-2e-05,0.000173,-0.114,1.0,3,5,uniform
KIAMO-Accra,4.0,0.015293,0.015322,-2.8e-05,0.000386,-0.073,1.0,3,5,uniform
Koforidua,0.25,0.012033,0.011808,0.000224,0.001726,0.13,0.625,1,5,SVAO
Koforidua,0.5,0.012033,0.010816,0.001217,0.001891,0.644,0.3125,3,5,SVAO
Koforidua,1.0,0.012033,0.011592,0.000441,0.000824,0.535,0.4375,3,5,SVAO
Koforidua,2.0,0.012033,0.01193,0.000102,0.000825,0.124,0.625,1,5,SVAO
Koforidua,4.0,0.012033,0.011716,0.000316,0.000887,0.356,0.8125,2,5,SVAO
Kumasi,0.25,0.019292,0.018466,0.000825,0.000673,1.227,0.125,4,5,SVAO
Kumasi,0.5,0.019292,0.018228,0.001064,0.001724,0.617,0.4375,3,5,SVAO
Kumasi,1.0,0.019292,0.018173,0.001119,0.001656,0.676,0.0625,5,5,SVAO
Kumasi,2.0,0.019292,0.017933,0.001358,0.001688,0.805,0.1875,4,5,SVAO
Kumasi,4.0,0.019292,0.01888,0.000412,0.001222,0.337,0.8125,2,5,SVAO
Navrongo,0.25,0.004814,0.005318,-0.000503,0.000829,-0.607,0.4375,2,5,uniform
Navrongo,0.5,0.004814,0.005332,-0.000518,0.001054,-0.492,0.625,1,5,uniform
Navrongo,1.0,0.004814,0.005288,-0.000474,0.001726,-0.274,0.625,2,5,uniform
Navrongo,2.0,0.004814,0.005342,-0.000528,0.000852,-0.62,0.3125,1,5,uniform
Navrongo,4.0,0.004814,0.007763,-0.002948,0.005203,-0.567,0.125,1,5,uniform
Tamale,0.25,0.01154,0.013039,-0.001498,0.002366,-0.633,0.1875,1,5,uniform
Tamale,0.5,0.01154,0.012698,-0.001158,0.00282,-0.41,0.625,1,5,uniform
Tamale,1.0,0.01154,0.014171,-0.00263,0.004486,-0.586,0.3125,2,5,uniform
Tamale,2.0,0.01154,0.014677,-0.003137,0.002914,-1.076,0.0625,0,5,uniform
Tamale,4.0,0.01154,0.016714,-0.005174,0.005794,-0.893,0.125,1,5,uniform
Wa,0.25,0.012695,0.01268,1.5e-05,0.000558,0.027,0.8125,3,5,SVAO
Wa,0.5,0.012695,0.012445,0.00025,0.00083,0.301,0.625,3,5,SVAO
Wa,1.0,0.012695,0.012627,6.8e-05,0.000316,0.215,0.8125,3,5,SVAO
Wa,2.0,0.012695,0.012568,0.000127,0.001292,0.098,1.0,2,5,SVAO
Wa,4.0,0.012695,0.012346,0.000349,0.001557,0.224,0.8125,2,5,SVAO
