Station,lambda,restart,seed,val_mse,epochs
KIAMO-Accra,0.0,0,42,0.014657414518296719,81
KIAMO-Accra,0.0,1,1042,0.017264237627387047,56
KIAMO-Accra,0.0,2,2042,0.014290754683315754,60
KIAMO-Accra,0.0,3,3042,0.015367235988378525,79
KIAMO-Accra,0.0,4,4042,0.014887281693518162,65
KIAMO-Accra,0.25,0,42,0.01472762506455183,81
KIAMO-Accra,0.25,1,1042,0.017264151945710182,56
KIAMO-Accra,0.25,2,2042,0.014365438371896744,60
KIAMO-Accra,0.25,3,3042,0.015445683151483536,105
KIAMO-Accra,0.25,4,4042,0.015118123032152653,68
KIAMO-Accra,0.5,0,42,0.014771741814911366,81
KIAMO-Accra,0.5,1,1042,0.017264097929000854,56
KIAMO-Accra,0.5,2,2042,0.014403718523681164,61
KIAMO-Accra,0.5,3,3042,0.015537772327661514,105
KIAMO-Accra,0.5,4,4042,0.015289290808141232,63
KIAMO-Accra,1.0,0,42,0.014832074753940105,81
KIAMO-Accra,1.0,1,1042,0.017264027148485184,56
KIAMO-Accra,1.0,2,2042,0.014373951591551304,58
KIAMO-Accra,1.0,3,3042,0.015418484807014465,105
KIAMO-Accra,1.0,4,4042,0.015380083583295345,64
KIAMO-Accra,2.0,0,42,0.014921694993972778,81
KIAMO-Accra,2.0,1,1042,0.017263954505324364,56
KIAMO-Accra,2.0,2,2042,0.01417663972824812,59
KIAMO-Accra,2.0,3,3042,0.015203982591629028,81
KIAMO-Accra,2.0,4,4042,0.01499918382614851,64
KIAMO-Accra,4.0,0,42,0.015062683261930943,81
KIAMO-Accra,4.0,1,1042,0.017263900488615036,56
KIAMO-Accra,4.0,2,2042,0.014668967574834824,59
KIAMO-Accra,4.0,3,3042,0.014838743023574352,81
KIAMO-Accra,4.0,4,4042,0.014773562550544739,61
Koforidua,0.0,0,42,0.012881948612630367,70
Koforidua,0.0,1,1042,0.012878290377557278,71
Koforidua,0.0,2,2042,0.011069037020206451,95
Koforidua,0.0,3,3042,0.012881533242762089,68
Koforidua,0.0,4,4042,0.01045211125165224,115
Koforidua,0.25,0,42,0.012890989892184734,70
Koforidua,0.25,1,1042,0.0097049530595541,128
Koforidua,0.25,2,2042,0.011971543543040752,78
Koforidua,0.25,3,3042,0.012891017831861973,68
Koforidua,0.25,4,4042,0.011582472361624241,90
Koforidua,0.5,0,42,0.01026958879083395,139
Koforidua,0.5,1,1042,0.010106061585247517,105
Koforidua,0.5,2,2042,0.012111775577068329,78
Koforidua,0.5,3,3042,0.010495476424694061,173
Koforidua,0.5,4,4042,0.011095281690359116,97
Koforidua,1.0,0,42,0.011472921818494797,92
Koforidua,1.0,1,1042,0.012955005280673504,50
Koforidua,1.0,2,2042,0.0107956537976861,111
Koforidua,1.0,3,3042,0.011733637191355228,114
Koforidua,1.0,4,4042,0.011002853512763977,83
Koforidua,2.0,0,42,0.011402440257370472,104
Koforidua,2.0,1,1042,0.012983554042875767,47
Koforidua,2.0,2,2042,0.01112744864076376,119
Koforidua,2.0,3,3042,0.012929311953485012,64
Koforidua,2.0,4,4042,0.011207965202629566,68
Koforidua,4.0,0,42,0.010988064110279083,114
Koforidua,4.0,1,1042,0.01299577858299017,47
Koforidua,4.0,2,2042,0.011008313857018948,69
Koforidua,4.0,3,3042,0.012943814508616924,64
Koforidua,4.0,4,4042,0.010646413080394268,93
Kumasi,0.0,0,42,0.018784111365675926,102
Kumasi,0.0,1,1042,0.020275311544537544,91
Kumasi,0.0,2,2042,0.018742842599749565,98
Kumasi,0.0,3,3042,0.018705099821090698,112
Kumasi,0.0,4,4042,0.019951293244957924,76
Kumasi,0.25,0,42,0.018804244697093964,137
Kumasi,0.25,1,1042,0.018784383311867714,142
Kumasi,0.25,2,2042,0.01848156936466694,112
Kumasi,0.25,3,3042,0.017676161602139473,167
Kumasi,0.25,4,4042,0.018585409969091415,98
Kumasi,0.5,0,42,0.016406984999775887,166
Kumasi,0.5,1,1042,0.020329708233475685,111
Kumasi,0.5,2,2042,0.018347956240177155,115
Kumasi,0.5,3,3042,0.01944839209318161,108
Kumasi,0.5,4,4042,0.016605576500296593,103
Kumasi,1.0,0,42,0.018324892967939377,109
Kumasi,1.0,1,1042,0.02010575495660305,129
Kumasi,1.0,2,2042,0.018338434398174286,106
Kumasi,1.0,3,3042,0.018216080963611603,149
Kumasi,1.0,4,4042,0.015878668054938316,125
Kumasi,2.0,0,42,0.016070742160081863,173
Kumasi,2.0,1,1042,0.019404008984565735,160
Kumasi,2.0,2,2042,0.018532617017626762,131
Kumasi,2.0,3,3042,0.019201939925551414,128
Kumasi,2.0,4,4042,0.016457518562674522,124
Kumasi,4.0,0,42,0.01878664828836918,127
Kumasi,4.0,1,1042,0.020696429535746574,159
Kumasi,4.0,2,2042,0.01647680625319481,158
Kumasi,4.0,3,3042,0.01945989951491356,121
Kumasi,4.0,4,4042,0.01898045279085636,97
Navrongo,0.0,0,42,0.004048702772706747,145
Navrongo,0.0,1,1042,0.004805573727935553,128
Navrongo,0.0,2,2042,0.0055814036168158054,133
Navrongo,0.0,3,3042,0.004920450039207935,116
Navrongo,0.0,4,4042,0.004714732524007559,117
Navrongo,0.25,0,42,0.005093558691442013,129
Navrongo,0.25,1,1042,0.005031087901443243,86
Navrongo,0.25,2,2042,0.005344565957784653,105
Navrongo,0.25,3,3042,0.004734992515295744,121
Navrongo,0.25,4,4042,0.006383965257555246,134
Navrongo,0.5,0,42,0.00493877986446023,137
Navrongo,0.5,1,1042,0.006005802657455206,86
Navrongo,0.5,2,2042,0.004288314841687679,185
Navrongo,0.5,3,3042,0.006186041980981827,116
Navrongo,0.5,4,4042,0.00524330697953701,154
Navrongo,1.0,0,42,0.007058534771203995,95
Navrongo,1.0,1,1042,0.0031275134533643723,180
Navrongo,1.0,2,2042,0.0051945047453045845,109
Navrongo,1.0,3,3042,0.005689255427569151,102
Navrongo,1.0,4,4042,0.005369243677705526,90
Navrongo,2.0,0,42,0.005575146060436964,118
Navrongo,2.0,1,1042,0.005309260915964842,86
Navrongo,2.0,2,2042,0.004938449244946241,104
Navrongo,2.0,3,3042,0.0050397212617099285,117
Navrongo,2.0,4,4042,0.005847652908414602,93
Navrongo,4.0,0,42,0.004848851356655359,135
Navrongo,4.0,1,1042,0.0054394640028476715,98
Navrongo,4.0,2,2042,0.005544572602957487,73
Navrongo,4.0,3,3042,0.01714601181447506,32
Navrongo,4.0,4,4042,0.005834411364048719,88
Tamale,0.0,0,42,0.013588574714958668,141
Tamale,0.0,1,1042,0.011723662726581097,181
Tamale,0.0,2,2042,0.011832990683615208,181
Tamale,0.0,3,3042,0.007470201700925827,300
Tamale,0.0,4,4042,0.013085844926536083,91
