Station,restart,uniform,svao_weighted_stop,delta
KIAMO-Accra,0,0.014657415026392636,0.014771742836910665,-0.00011432781051802857
KIAMO-Accra,1,0.017264236170769633,0.01726409757377516,1.3859699447490992e-07
KIAMO-Accra,2,0.014290755672941496,0.014403718045793231,-0.00011296237285173504
KIAMO-Accra,3,0.015367237426270419,0.01553777207697984,-0.00017053465070942034
KIAMO-Accra,4,0.014887281750122166,0.015289290504403842,-0.0004020087542816759
Koforidua,0,0.012881947269883204,0.010269587944272561,0.0026123593256106425
Koforidua,1,0.0128782892196527,0.010106061413507457,0.002772227806145243
Koforidua,2,0.011069036936447276,0.012111774262422275,-0.001042737325974999
Koforidua,3,0.01288153299875861,0.010495476273421152,0.0023860567253374577
Koforidua,4,0.010452110083440857,0.011095281276914637,-0.0006431711934737801
Kumasi,0,0.018784114143479653,0.01640698644154774,0.0023771277019319116
Kumasi,1,0.02027531187560849,0.020329710013824765,-5.439813821627587e-05
Kumasi,2,0.018742842993062264,0.018347957232363026,0.0003948857606992373
Kumasi,3,0.018705101232843153,0.019448393902909325,-0.0007432926700661723
Kumasi,4,0.01995129225291618,0.0166055761794393,0.0033457160734768794
Navrongo,0,0.004048702771073761,0.004938779578330023,-0.0008900768072562619
Navrongo,1,0.004805573964439886,0.006005802179657553,-0.0012002282152176668
Navrongo,2,0.005581402959406654,0.004288315492656544,0.00129308746675011
Navrongo,3,0.004920450279777187,0.006186042525494564,-0.0012655922457173764
Navrongo,4,0.004714732328833355,0.0052433072042503,-0.0005285748754169451
Tamale,0,0.013588576092196889,0.016037891620353822,-0.0024493155281569336
Tamale,1,0.011723662327919241,0.008037394130140407,0.0036862681977788345
Tamale,2,0.011832991988384707,0.012916385623466678,-0.0010833936350819716
Tamale,3,0.007470201646573756,0.010659711484391378,-0.0031895098378176227
Tamale,4,0.013085844358748011,0.01583754430723942,-0.0027516999484914085
Wa,0,0.013191263926099834,0.013081872096879114,0.00010939182922072022
Wa,1,0.01304477877600358,0.011590111725236,0.0014546670507675809
Wa,2,0.011395829686704823,0.012191916380814679,-0.0007960866941098561
Wa,3,0.012888713534540082,0.012959084177477216,-7.037064293713424e-05
Wa,4,0.012952702432633858,0.0124018621881245,0.0005508402445093576
