Station,model,mean_departure_from_clim,ensemble_sd,signal_to_noise
KIAMO-Accra,LSTM,0.6912,0.107,6.46
KIAMO-Accra,ARIMA-LSTM-SVAO,0.8779,0.1505,5.83
Koforidua,LSTM,0.4686,0.194,2.42
Koforidua,ARIMA-LSTM-SVAO,0.5614,0.1912,2.94
Kumasi,LSTM,0.7144,0.1901,3.76
Kumasi,ARIMA-LSTM-SVAO,0.8144,0.1769,4.6
Navrongo,LSTM,0.2606,0.1558,1.67
Navrongo,ARIMA-LSTM-SVAO,0.4386,0.3451,1.27
Tamale,LSTM,0.7316,0.3027,2.42
Tamale,ARIMA-LSTM-SVAO,1.1717,0.4189,2.8
Wa,LSTM,0.5669,0.3098,1.83
Wa,ARIMA-LSTM-SVAO,0.511,0.306,1.67
