Station,Profile,loglik
KIAMO-Accra,Null,-58.11098521813689
KIAMO-Accra,Month,-62.40198566422644
KIAMO-Accra,Season,-57.93479813711612
KIAMO-Accra,Harmonic-1,-60.96663185207207
KIAMO-Accra,Harmonic-2,-62.15733250665698
Koforidua,Null,-48.82186071467747
Koforidua,Month,-50.26664589519008
Koforidua,Season,-46.98369456763574
Koforidua,Harmonic-1,-51.3011580444674
Koforidua,Harmonic-2,-48.35934735289728
Kumasi,Null,-88.57063103232915
Kumasi,Month,-83.44778462355605
Kumasi,Season,-83.11408626511279
Kumasi,Harmonic-1,-83.1267375127403
Kumasi,Harmonic-2,-82.30791282696069
Navrongo,Null,-37.6537088837909
Navrongo,Month,-35.875250804907466
Navrongo,Season,-37.21962208197507
Navrongo,Harmonic-1,-35.74752561280818
Navrongo,Harmonic-2,-35.64271298700291
Tamale,Null,-84.07323858382952
Tamale,Month,-95.9415032703601
Tamale,Season,-85.90524161236638
Tamale,Harmonic-1,-89.99213874892833
Tamale,Harmonic-2,-90.46077426033
Wa,Null,-45.249884101417805
Wa,Month,-48.13605921767578
Wa,Season,-47.51587240346279
Wa,Harmonic-1,-46.38564447788963
Wa,Harmonic-2,-47.423707601004324
