Station,Model,Season,RMSE
KIAMO-Accra,Persistence,Dry,0.5714189363976135
KIAMO-Accra,Persistence,Rainy,1.2239670957913322
KIAMO-Accra,Climatology,Dry,1.0453099249955158
KIAMO-Accra,Climatology,Rainy,1.0975963704927512
KIAMO-Accra,ARIMA,Dry,0.6434770179533815
KIAMO-Accra,ARIMA,Rainy,0.8933094208030519
KIAMO-Accra,LSTM,Dry,0.41761784122544626
KIAMO-Accra,LSTM,Rainy,0.8221864696743871
KIAMO-Accra,ARIMA-LSTM,Dry,0.6487313939717362
KIAMO-Accra,ARIMA-LSTM,Rainy,0.8131602072494271
KIAMO-Accra,ARIMA-LSTM-SVAO,Dry,0.6173349442142659
KIAMO-Accra,ARIMA-LSTM-SVAO,Rainy,0.8172364431282139
KIAMO-Accra,LSTM+,Dry,0.5265249303245234
KIAMO-Accra,LSTM+,Rainy,0.6834741253949175
KIAMO-Accra,Hybrid+,Dry,0.4200120110744005
KIAMO-Accra,Hybrid+,Rainy,0.6784953283398952
KIAMO-Accra,Hybrid+SVAO,Dry,0.42066064902814626
KIAMO-Accra,Hybrid+SVAO,Rainy,0.6784810192125794
Koforidua,Persistence,Dry,0.6995603161222642
Koforidua,Persistence,Rainy,0.9638809991751242
Koforidua,Climatology,Dry,0.9704004394494766
Koforidua,Climatology,Rainy,0.5874798841336303
Koforidua,ARIMA,Dry,0.6053781737529901
Koforidua,ARIMA,Rainy,0.6558254087895952
Koforidua,LSTM,Dry,0.5283796202507313
Koforidua,LSTM,Rainy,0.5789601544312982
Koforidua,ARIMA-LSTM,Dry,0.5650043240153918
Koforidua,ARIMA-LSTM,Rainy,0.6161447616616426
Koforidua,ARIMA-LSTM-SVAO,Dry,0.5647574197707258
Koforidua,ARIMA-LSTM-SVAO,Rainy,0.5887549887483197
Koforidua,LSTM+,Dry,0.6509098813780992
Koforidua,LSTM+,Rainy,0.45265378145420465
Koforidua,Hybrid+,Dry,0.6885105415611908
Koforidua,Hybrid+,Rainy,0.44565885298405206
Koforidua,Hybrid+SVAO,Dry,0.6849356783357582
Koforidua,Hybrid+SVAO,Rainy,0.43622631766714487
Kumasi,Persistence,Dry,0.8433285433365121
Kumasi,Persistence,Rainy,0.8457638518736665
Kumasi,Climatology,Dry,1.1227525149287096
Kumasi,Climatology,Rainy,0.9594974956658925
Kumasi,ARIMA,Dry,0.7831325783045336
Kumasi,ARIMA,Rainy,0.5801969851776564
Kumasi,LSTM,Dry,0.5539054246410439
Kumasi,LSTM,Rainy,0.48308734474477283
Kumasi,ARIMA-LSTM,Dry,0.650084414683194
Kumasi,ARIMA-LSTM,Rainy,0.4832473688782326
Kumasi,ARIMA-LSTM-SVAO,Dry,0.6825321389097083
Kumasi,ARIMA-LSTM-SVAO,Rainy,0.48165391086984116
Kumasi,LSTM+,Dry,0.4773531743305023
Kumasi,LSTM+,Rainy,0.4748724339550165
Kumasi,Hybrid+,Dry,0.6358712942929803
Kumasi,Hybrid+,Rainy,0.47474124634229503
Kumasi,Hybrid+SVAO,Dry,0.639712847930988
Kumasi,Hybrid+SVAO,Rainy,0.47790383924769636
Navrongo,Persistence,Dry,1.8797439374124547
Navrongo,Persistence,Rainy,1.45989918830023
Navrongo,Climatology,Dry,0.8117256960952507
Navrongo,Climatology,Rainy,0.6186039217395287
Navrongo,ARIMA,Dry,1.7563168420336823
Navrongo,ARIMA,Rainy,0.5738244051153348
Navrongo,LSTM,Dry,0.8456017883182253
Navrongo,LSTM,Rainy,0.46447078826899535
Navrongo,ARIMA-LSTM,Dry,0.8998521616208539
Navrongo,ARIMA-LSTM,Rainy,0.5458036363707115
Navrongo,ARIMA-LSTM-SVAO,Dry,0.9533379858671159
Navrongo,ARIMA-LSTM-SVAO,Rainy,0.5552987794975454
Navrongo,LSTM+,Dry,0.8130432224297819
Navrongo,LSTM+,Rainy,0.5993148832462073
Navrongo,Hybrid+,Dry,0.7915845570416595
Navrongo,Hybrid+,Rainy,0.5725155483059734
Navrongo,Hybrid+SVAO,Dry,0.7866104261871931
Navrongo,Hybrid+SVAO,Rainy,0.5278656348062304
Tamale,Persistence,Dry,1.7537523188222055
Tamale,Persistence,Rainy,1.6950308685857618
Tamale,Climatology,Dry,1.3310953900895492
Tamale,Climatology,Rainy,1.2310486652666028
