A,B,Station,dm,p,favours,significant
LSTM+E,LSTM+ (rerun),KIAMO-Accra,4.262041733638558,9.668529116102498e-05,LSTM+ (rerun),True
LSTM+E,LSTM+ (rerun),Koforidua,1.1046513636702073,0.2749338713465759,LSTM+ (rerun),False
LSTM+E,LSTM+ (rerun),Kumasi,2.515183678681343,0.015374945652565364,LSTM+ (rerun),True
LSTM+E,LSTM+ (rerun),Navrongo,-0.4940819374987066,0.6235496711402257,LSTM+E,False
LSTM+E,LSTM+ (rerun),Tamale,0.8764462127890225,0.3852452428924227,LSTM+ (rerun),False
LSTM+E,LSTM+ (rerun),Wa,1.0528698409107862,0.2987195349723857,LSTM+ (rerun),False
Hybrid+SVAO+E,Hybrid+SVAO,KIAMO-Accra,2.2558939784481216,0.028771130266042055,Hybrid+SVAO,True
Hybrid+SVAO+E,Hybrid+SVAO,Koforidua,0.3634048469403782,0.7179319763699348,Hybrid+SVAO,False
Hybrid+SVAO+E,Hybrid+SVAO,Kumasi,2.6668947800960394,0.010466471990457027,Hybrid+SVAO,True
Hybrid+SVAO+E,Hybrid+SVAO,Navrongo,0.7776345021604929,0.44068144574265533,Hybrid+SVAO,False
Hybrid+SVAO+E,Hybrid+SVAO,Tamale,-0.030342456398105396,0.9759224195823584,Hybrid+SVAO+E,False
Hybrid+SVAO+E,Hybrid+SVAO,Wa,3.412165116304977,0.0014869668223553845,Hybrid+SVAO,True
Hybrid+SVAO+E,LSTM+E,KIAMO-Accra,-3.793738071171266,0.00042347426138689137,Hybrid+SVAO+E,True
Hybrid+SVAO+E,LSTM+E,Koforidua,-1.0722121884265445,0.2890995242388994,Hybrid+SVAO+E,False
Hybrid+SVAO+E,LSTM+E,Kumasi,1.6177876336277603,0.11240096395991128,LSTM+E,False
Hybrid+SVAO+E,LSTM+E,Navrongo,-1.9923046504338515,0.0521640288264662,Hybrid+SVAO+E,False
Hybrid+SVAO+E,LSTM+E,Tamale,0.1850249474592311,0.8540055956162225,LSTM+E,False
Hybrid+SVAO+E,LSTM+E,Wa,1.1079202635093006,0.27451400282804794,LSTM+E,False
Hybrid+SVAO,GRU+,KIAMO-Accra,-1.564689680737353,0.12436462723461816,Hybrid+SVAO,False
Hybrid+SVAO,GRU+,Koforidua,1.8827508366455405,0.06593201868454801,GRU+,False
Hybrid+SVAO,GRU+,Kumasi,2.6320865815881582,0.011444825686924398,GRU+,True
Hybrid+SVAO,GRU+,Navrongo,-1.7754734288441756,0.08229493424323575,Hybrid+SVAO,False
Hybrid+SVAO,GRU+,Tamale,2.281547463278254,0.027089828637264945,GRU+,True
Hybrid+SVAO,GRU+,Wa,-0.28164137686895113,0.7796704858894861,Hybrid+SVAO,False
Hybrid+SVAO,SVR,KIAMO-Accra,-2.8994301804457137,0.005666929437248447,Hybrid+SVAO,True
Hybrid+SVAO,SVR,Koforidua,-2.3952692192948635,0.02064480972766014,Hybrid+SVAO,True
Hybrid+SVAO,SVR,Kumasi,1.3620678387661649,0.17966914955560798,SVR,False
Hybrid+SVAO,SVR,Navrongo,-1.712216645822927,0.09344827085468732,Hybrid+SVAO,False
Hybrid+SVAO,SVR,Tamale,1.4142777054981654,0.1638709683007602,SVR,False
Hybrid+SVAO,SVR,Wa,5.186808302855484,6.517086010182638e-06,SVR,True
Hybrid+SVAO,XGBoost,KIAMO-Accra,-2.5395694990816766,0.01446589424909428,Hybrid+SVAO,True
Hybrid+SVAO,XGBoost,Koforidua,-2.703807922270547,0.009513316914423475,Hybrid+SVAO,True
Hybrid+SVAO,XGBoost,Kumasi,-1.7453586120234486,0.08745768399528919,Hybrid+SVAO,False
Hybrid+SVAO,XGBoost,Navrongo,-2.682196653555346,0.010061181504581462,Hybrid+SVAO,True
Hybrid+SVAO,XGBoost,Tamale,-1.4932472418010865,0.14205573327986887,Hybrid+SVAO,False
Hybrid+SVAO,XGBoost,Wa,1.4938546850406706,0.14306079721630716,XGBoost,False
Hybrid+SVAO,LSTM+SVAO,KIAMO-Accra,-1.976304249052128,0.05400576086658271,Hybrid+SVAO,False
Hybrid+SVAO,LSTM+SVAO,Koforidua,0.7810985253135665,0.43866136066337313,LSTM+SVAO,False
Hybrid+SVAO,LSTM+SVAO,Kumasi,2.0401958079797655,0.046972010936691344,LSTM+SVAO,True
Hybrid+SVAO,LSTM+SVAO,Navrongo,-2.5123244971658414,0.015484861707563358,Hybrid+SVAO,True
Hybrid+SVAO,LSTM+SVAO,Tamale,1.4673776233714113,0.14893367987346973,LSTM+SVAO,False
Hybrid+SVAO,LSTM+SVAO,Wa,-2.4281116712369655,0.01976901066598602,Hybrid+SVAO,True
GRU+,LSTM+ (rerun),KIAMO-Accra,-1.5558964305939673,0.12644147001902106,GRU+,False
GRU+,LSTM+ (rerun),Koforidua,-1.509321846451437,0.1379104005229168,GRU+,False
GRU+,LSTM+ (rerun),Kumasi,0.48470312062115395,0.6301383368115809,LSTM+ (rerun),False
GRU+,LSTM+ (rerun),Navrongo,-1.1925938576856905,0.23901474861461192,GRU+,False
GRU+,LSTM+ (rerun),Tamale,-2.120491241312052,0.039270946365153714,GRU+,True
GRU+,LSTM+ (rerun),Wa,-2.194635922315065,0.03405656706381999,GRU+,True
