Station,lag,r,p
KIAMO-Accra,1,0.31835866092866066,2.1683986857808696e-07
KIAMO-Accra,2,0.3847432727587692,2.1873920214994536e-10
KIAMO-Accra,3,0.42945607439890643,8.027459786366314e-13
KIAMO-Accra,4,0.4551619879691229,2.1520333822072668e-14
KIAMO-Accra,5,0.4755721034764434,9.71292138949176e-16
KIAMO-Accra,6,0.48134776223618714,3.8908669144800417e-16
Koforidua,1,0.33250489750178325,9.802622827740251e-08
Koforidua,2,0.3954957345884159,1.3396723468482931e-10
Koforidua,3,0.43633508852839376,8.265310378108272e-13
Koforidua,4,0.4580212053217907,4.1449546663317266e-14
Koforidua,5,0.47226703644626483,5.155011059087195e-15
Koforidua,6,0.4746769232114778,3.5882661639023475e-15
Kumasi,1,0.2983810599735072,7.890436914164671e-07
Kumasi,2,0.34554015258129817,8.102594270541858e-09
Kumasi,3,0.36378683746636287,1.1093679535056306e-09
Kumasi,4,0.36118238868116725,1.4849322860028257e-09
Kumasi,5,0.3509471976234851,4.554370067255489e-09
Kumasi,6,0.3503341560717059,4.864450822500235e-09
Navrongo,1,0.15732261399791514,0.01046656447575167
Navrongo,2,0.18585802137509289,0.002429662871983898
Navrongo,3,0.17734519611163094,0.0038426966911564464
Navrongo,4,0.15830466238612725,0.00998911471773707
Navrongo,5,0.1485426615126393,0.015713822987052747
Navrongo,6,0.15347643100473543,0.012536448256047168
Tamale,1,0.1463415200427272,0.025494097487762574
Tamale,2,0.20387854968482708,0.0017584658913543433
Tamale,3,0.23074712860565164,0.00038332733608506064
Tamale,4,0.23798166681621533,0.0002464662481234421
Tamale,5,0.23674957505110947,0.000265976118003167
Tamale,6,0.23784033507058608,0.00024863448899270355
Wa,1,0.13596511896712393,0.02717766158122729
Wa,2,0.1849147069218822,0.002558748117900536
Wa,3,0.1829285970278692,0.0028511366122912275
Wa,4,0.1712067674821938,0.005283780180050685
Wa,5,0.17810740759377142,0.0036911057650006345
Wa,6,0.19382398724624741,0.001554112004832571
